Date,Resting heart rate,Breaths per minute (during sleep),HRV-status,DeepSleep,Restless moments,Duration (mins),Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm,DayOfWeek,IsWeekend,HR_Recovery_Score,Temp_Comfort_Index,Humidity_Comfort_Index,Weather_Stability,HRV_HR_Ratio,Breathing_Sleep_Quality,BedTimeSin,BedTimeCos,WakeTimeSin,WakeTimeCos,SunsetSin,SunsetCos,SunriseSin,SunriseCos,MinutesAfterSunset,BedtimeCategory_Early,BedtimeCategory_Late,BedtimeCategory_On Time,Heat_Stress_Effort,Sleep_Fragmentation
2025-02-22,59,12,34,65,42,473,11242,2971,81.5,159,0.0,0.0,58,10.0,6.0,13.0,100.0,90.9,72.0,26.0,19.0,13.0,1022.5,1013.9,1010.5,1.9,5,1,41,48.33333333333333,24.73333333333335,64.88115415715754,0.576271186440678,4.8999999999999995,-0.13052619222005168,0.9914448613738104,0.9205048534524404,-0.3907311284892736,-0.999533590836713,0.030538513209822354,0.904455145454368,-0.4265687399014584,323,False,False,True,754.0,0.08879492600422834
2025-02-23,58,12,38,45,58,492,8072,2845,81.5,129,0.0,6.29,38,9.6,5.0,14.0,100.0,83.6,62.0,31.0,20.8,11.0,1027.5,1024.3,1020.5,0.0,6,1,42,47.666666666666664,36.26666666666668,54.996296448699546,0.6551724137931034,4.533333333333333,-0.06540312923014367,0.9978589232386035,0.7906895737438435,-0.6122172800344491,-0.9993908270190958,0.03489949670250128,0.9081431738250815,-0.4186597375374278,337,False,False,True,532.0,0.11788617886178862
2025-02-24,57,12,38,57,48,515,10462,3452,81.5,169,0.0,14.13,113,10.4,9.0,12.0,100.0,83.3,67.0,33.0,27.6,19.0,1020.5,1014.8,1012.5,5.2,0,0,43,52.333333333333336,33.133333333333326,84.98889300106973,0.6666666666666666,4.95,-0.30070579950427384,0.9537169507482267,0.9238795325112867,-0.3826834323650897,-0.9990482215818578,0.043619387365335764,0.9117620435770886,-0.4107188526134773,280,False,False,True,1356.0,0.09320388349514563
2025-02-25,59,13,37,50,57,458,11276,3579,81.5,168,5.0,15.93,167,8.1,6.0,11.0,100.0,92.0,76.0,19.0,12.7,4.0,1014.5,1013.4,1012.5,0.0,1,0,41,41.833333333333336,21.333333333333343,74.8935599231326,0.6271186440677966,4.3076923076923075,-0.034899496702500823,0.9993908270190958,0.9222009716704518,-0.3867109616368207,-0.9986295347545738,0.052335956242943946,0.9153114791194472,-0.40274668985873713,340,False,False,True,1837.0,0.12445414847161572
2025-02-26,61,12,36,61,41,515,8363,2748,81.5,128,0.0,0.0,5,7.0,2.0,11.0,100.0,82.1,54.0,31.0,15.8,0.0,1016.5,1014.3,1010.5,3.4,2,0,39,33.33333333333334,42.599999999999994,54.90750247177105,0.5901639344262295,4.908333333333333,-0.16934950384902492,0.9855560590580776,0.8457278217039732,-0.5336145159156115,-0.998134798421867,0.06104853953485644,0.9205048534524404,-0.3907311284892736,307,False,False,True,55.0,0.07961165048543689
2025-02-27,58,12,37,65,39,411,9551,3242,81.5,131,0.0,14.87,87,6.0,5.0,8.0,100.0,89.8,81.0,26.0,15.8,2.0,1020.5,1014.3,1010.5,1.6,3,0,42,31.666666666666657,19.46666666666667,84.72474768348053,0.6379310344827587,5.083333333333334,0.12186934340514748,0.992546151641322,0.9351352096860117,-0.35429103799771566,-0.9975640502598243,0.06975647374412522,0.9238795325112867,-0.3826834323650897,372,False,True,False,696.0,0.0948905109489051
2025-02-28,57,12,37,56,42,391,12511,2777,81.7,113,0.0,0.0,0,5.4,1.0,8.0,100.0,83.7,66.0,22.0,13.8,6.0,1030.5,1026.4,1020.5,0.0,4,0,43,24.0,33.53333333333333,64.61638797409174,0.6491228070175439,4.775,0.22069743502150108,0.9753423205085127,0.9099612708765433,-0.4146932426562388,-0.9969173337331281,0.07845909572784432,0.9271838545667874,-0.37460659341591207,393,False,True,False,0.0,0.10741687979539642
2025-03-01,58,13,37,99,53,496,13577,3229,81.9,120,0.0,0.0,30,4.0,0.0,8.0,100.0,83.4,62.0,17.0,8.7,2.0,1036.5,1033.7,1030.5,0.0,5,1,42,20.0,36.400000000000006,60.0,0.6379310344827587,4.6461538461538465,0.008726535498373935,0.9999619230641713,0.8038568606172174,-0.5948227867513411,-0.9965655024977614,0.08280820751220433,0.9304175679820246,-0.3665012267242972,343,False,False,True,240.0,0.10685483870967742
2025-03-02,62,13,35,50,40,436,13015,3679,82.1,126,0.0,0.0,81,3.0,-3.0,10.0,100.0,85.5,54.0,11.0,4.0,0.0,1036.5,1034.9,1031.5,0.0,6,1,38,16.666666666666657,40.33333333333334,34.93592901352288,0.5645161290322581,3.607692307692308,0.43837114678907746,0.898794046299167,0.6259234721840592,-0.7798844830928817,-0.9958049275746618,0.09150161866340183,0.9335804264972017,-0.35836794954530027,443,False,True,False,810.0,0.09174311926605505
2025-03-03,62,14,34,79,41,351,15141,3319,82.3,124,0.0,0.0,49,2.9,-4.0,10.0,100.0,84.4,54.0,9.0,4.7,0.0,1031.5,1029.8,1028.5,0.0,0,0,38,14.833333333333345,41.06666666666666,29.99761908811007,0.5483870967741935,3.107142857142857,0.3907311284892737,0.9205048534524404,0.9099612708765433,-0.4146932426562388,-0.9949685182509117,0.10018806161207608,0.9381913359224842,-0.3461170570774929,429,False,True,False,490.0,0.1168091168091168
2025-03-04,61,13,34,48,53,468,9047,3393,82.5,169,3.0,15.75,123,3.8,-3.0,12.0,100.0,81.3,54.0,15.0,6.9,0.0,1028.5,1026.6,1024.5,0.0,1,0,39,21.33333333333333,43.133333333333326,24.89119004182443,0.5573770491803278,4.238461538461538,0.33791671800332695,0.9411760152563706,0.6461239796429639,-0.7632324697825289,-0.9940563382223196,0.10886687485196471,0.9411760152563707,-0.3379167180033268,414,False,True,False,1476.0,0.11324786324786325
2025-03-05,63,12,33,45,43,453,9070,2846,81.8,119,0.0,0.0,3,6.3,0.0,14.0,93.0,73.3,44.0,22.0,12.0,4.0,1025.5,1022.8,1020.5,0.0,2,0,37,33.83333333333333,59.79999999999998,29.883430393855303,0.5238095238095238,3.916666666666666,0.5664062369248328,0.8241261886220157,0.5112930860770525,-0.8594064115014525,-0.9930684569549263,0.11753739745783724,0.9440890203927843,-0.3296906452627872,471,False,True,False,42.0,0.09492273730684327
2025-03-06,62,13,32,67,36,331,13284,3788,82.0,159,0.0,0.0,101,8.3,1.0,17.0,93.0,69.7,45.0,19.0,11.2,6.0,1020.5,1017.2,1015.5,0.0,3,0,38,43.833333333333336,61.53333333333333,19.89798171498215,0.5161290322580645,3.5384615384615383,0.5519369853120581,0.8338858220671682,0.894934361602025,-0.4461978131098088,-0.992004949679715,0.1261989691358297,0.9469301294951057,-0.3214394653031616,465,False,True,False,1717.0,0.10876132930513595
2025-03-07,63,12,30,74,47,555,6631,2919,82.3,125,0.0,14.03,48,10.3,4.0,18.0,87.0,66.8,45.0,17.0,11.4,6.0,1016.5,1015.8,1015.5,0.0,4,0,37,53.83333333333333,67.46666666666667,29.88343039385532,0.4761904761904761,4.675,0.31730465640509214,0.9483236552061993,0.37864861735243294,-0.9255405040175664,-0.9914448613738104,0.13052619222005213,0.9510565162951536,-0.30901699437494734,404,False,True,False,864.0,0.08468468468468468
2025-03-08,57,13,30,48,47,401,8615,3050,82.5,144,0.0,19.05,102,12.2,5.0,19.0,76.0,52.6,24.0,22.0,14.3,7.0,1015.5,1012.7,1009.5,0.0,5,1,43,60.33333333333334,98.26666666666668,29.99047683826626,0.5263157894736842,4.223076923076923,0.13052619222005157,0.9914448613738104,0.9426414910921783,-0.333806859233771,-0.9902680687415704,0.13917310096006547,0.9537169507482269,-0.30070579950427295,358,False,False,True,1938.0,0.1172069825436409
2025-03-09,58,13,34,67,46,481,7389,2744,83.0,123,0.0,0.0,13,10.8,4.0,18.0,81.0,61.2,42.0,17.0,10.3,6.0,1009.5,1006.0,1003.5,0.0,6,1,42,54.66666666666666,77.2,29.99047683826626,0.5862068965517241,4.276923076923078,0.27563735581699916,0.9612616959383189,0.9170600743851242,-0.398749068925246,-0.9890158633619168,0.14780941112961096,0.9563047559630355,-0.29237170472273666,390,False,True,False,234.0,0.09563409563409564
2025-03-10,61,13,31,63,45,363,11049,3822,82.3,140,0.0,15.12,127,9.1,4.0,15.0,93.0,70.1,42.0,17.0,10.3,0.0,1004.5,1002.8,1001.5,0.0,0,0,39,46.833333333333336,63.26666666666668,44.951536503428784,0.5081967213114754,3.892307692307692,0.41865973753742813,0.9081431738250813,0.8849876374630419,-0.4656145203251114,-0.9876883405951378,0.15643446504023067,0.9600498543859287,-0.2798290140309919,423,False,True,False,1905.0,0.12396694214876033
2025-03-11,59,13,30,52,38,391,5757,3284,81.7,135,0.0,19.8,130,5.4,2.0,8.0,100.0,80.5,57.0,28.0,15.8,7.0,1004.5,1004.0,1002.5,0.0,1,0,41,25.666666666666657,41.66666666666666,69.91124240960865,0.5084745762711864,4.369230769230769,0.7906895737438433,0.6122172800344493,0.4656145203251116,-0.8849876374630418,-0.9862856015372313,0.1650476058606778,0.9624552364536473,-0.2714404498650742,531,False,True,False,1040.0,0.09718670076726342
